order_book_id,board_type,sector_code,month,date,yield_rate,ep_ratio_ttm,pb_ratio_ttm,sp_ratio_ttm,MACD_DIFF,MACD_DEA,MACD_HIST,RSI10,SY,BIAS20,VOL30,VOL60,VOL120,VOLT20,VOLT60,AR,BR
000001.XSHE,MainBoard,Financials,0,2017-01-03,-0.010988222298360086,1.433190118592488,-0.7479635423761316,1.5492131047337108,-0.38682042786844506,-0.3643808383067469,-0.14875325983127488,-0.3073125479401065,0.5090511271019521,-0.3336722135477849,-0.35310307321202317,-0.744710166319267,-1.0975501970041082,-1.0301963758011174,-1.4948064496645643,-1.0553701532149813,-0.9622356005197675
000001.XSHE,MainBoard,Financials,1,2017-01-04,-0.010988222298360086,1.433190118592488,-0.7479635423761316,1.5492131047337108,-0.37054544991365984,-0.3718828261309933,-0.07705721725163478,0.30010743436539705,-0.16704124860408862,-0.29938541056528806,-0.4378049100987377,-0.7387095598400059,-1.0893910618404843,-1.0495135785321972,-1.4949881105971226,-1.0568573357281903,-1.1552968228271256
000001.XSHE,MainBoard,Financials,2,2017-01-05,-0.011172640948643484,1.426933847125584,-0.742107180780802,1.5419993404504508,-0.3531422837468178,-0.37414098110048394,-0.01691721923411037,0.012014714385042214,0.5090511271019521,-0.24601724424681698,-0.6010252803575924,-0.7335398107003458,-1.0903024995336672,-1.0726890721793467,-1.4957577033749656,-1.1844470354856012,-1.163711113387735
000001.XSHE,MainBoard,Financials,3,2017-01-06,0.06202027349413996,1.452041162191012,-0.7655326271621183,1.5709492115718782,-0.3468011296010682,-0.37458351494096587,0.0039055746848629808,-0.1522777929770193,0.5090511271019521,-0.28952593590267317,-0.6498808027268973,-0.752682118667348,-1.105653053317142,-1.1099286861642101,-1.4975096699383124,-1.1974472051252365,-1.2562628421791784
000001.XSHE,MainBoard,Financials,4,2017-01-09,0.13378989730031804,1.4394600649697031,-0.7538199039714606,1.5564426368077535,-0.3351019431009587,-0.3724210351341259,0.033781691136579986,0.5653356527600061,0.5090511271019521,-0.19481746443928688,-0.7311610297395762,-0.7542973135935578,-1.1267473495024827,-1.218737524457078,-1.4990464145694864,-1.2290591284216172,-1.3322563246943193
000001.XSHE,MainBoard,Financials,5,2017-01-10,0.1216975753681752,1.4394600649697031,-0.7538199039714606,1.5564426368077535,-0.3240372317438834,-0.36831102258976905,0.056117380902344464,0.24821495685341854,0.5090511271019521,-0.15788025376315573,-0.8552967283204677,-0.7648210433629862,-1.1333110713741432,-1.2904683621661388,-1.5020428228371738,-1.0366624228419439,-1.1811314167706102
000001.XSHE,MainBoard,Financials,6,2017-01-11,0.1942712345202336,1.4457437311420511,-0.7596762655667888,1.5636879884268151,-0.31594522904994854,-0.3632824160451625,0.06665247297225378,0.6656250728404691,0.5090511271019521,-0.14945123384531123,-0.9277654974486579,-0.7879498947605601,-1.1372007211513404,-1.3482925608169236,-1.5034138087577322,-0.9451286786683919,-1.0170181391392779
000001.XSHE,MainBoard,Financials,7,2017-01-12,0.19399422351565765,1.4394600649697031,-0.7538199039714606,1.5564426368077535,-0.305575447645484,-0.3570289790489668,0.08069965776087812,1.0931747058150574,0.5090511271019521,-0.10167755814994557,-1.003762534841162,-0.7958021181585105,-1.1431374131791505,-1.423186056780873,-1.5053556996193964,-0.9009084918151951,-1.069156003480596
000001.XSHE,MainBoard,Financials,8,2017-01-13,0.09733790473213805,1.433190118592488,-0.7479635423761316,1.5492131047337108,-0.29353925873426684,-0.3494372361684822,0.09604831947991535,1.0211966531257337,0.5090511271019521,-0.07083941466194321,-1.035098099801108,-0.7935157557178035,-1.1425814724901193,-1.4417100841713553,-1.5078916210005755,-0.7442204443760233,-0.9373938829584417
000001.XSHE,MainBoard,Financials,9,2017-01-16,0.32704496775315123,1.4457437311420511,-0.7596762655667888,1.5636879884268151,-0.2873832007104177,-0.34203966797973834,0.09382138263265594,0.4741634526868674,-0.16704124860408862,-0.10165894102766238,-1.0627783446139776,-0.8000131070499245,-1.130433269600177,-1.4664494367888927,-1.508135989792125,-0.8387734600317358,-1.1100272948378185
